n_components,explained_var,cumulative_var,marginal_gain
307,0.000736,0.309288,0.000736
308,0.000736,0.310024,0.000736
309,0.000736,0.310759,0.000736
310,0.000736,0.311495,0.000736
311,0.000736,0.312230,0.000736
312,0.000736,0.312966,0.000736
313,0.000736,0.313701,0.000736
314,0.000736,0.314437,0.000736
315,0.000736,0.315172,0.000736
316,0.000736,0.315908,0.000736
317,0.000736,0.316643,0.000736
318,0.000736,0.317379,0.000736
319,0.000736,0.318115,0.000736
320,0.000736,0.318850,0.000736
321,0.000736,0.319586,0.000736
322,0.000736,0.320321,0.000736
323,0.000736,0.321057,0.000736
324,0.000736,0.321792,0.000736
325,0.000736,0.322528,0.000736
326,0.000736,0.323263,0.000736
327,0.000736,0.323999,0.000736
328,0.000736,0.324734,0.000736
329,0.000736,0.325470,0.000736
330,0.000736,0.326205,0.000736
331,0.000736,0.326941,0.000736
332,0.000736,0.327677,0.000736
333,0.000736,0.328412,0.000736
334,0.000736,0.329148,0.000736
335,0.000736,0.329883,0.000736
336,0.000736,0.330619,0.000736
337,0.000736,0.331354,0.000736
338,0.000736,0.332090,0.000736
339,0.000736,0.332825,0.000736
340,0.000736,0.333561,0.000736
341,0.000736,0.334296,0.000736
342,0.000736,0.335032,0.000736
343,0.000736,0.335767,0.000736
344,0.000736,0.336503,0.000736
345,0.000736,0.337239,0.000736
346,0.000736,0.337974,0.000736
347,0.000736,0.338710,0.000736
348,0.000736,0.339445,0.000736
349,0.000736,0.340181,0.000736
350,0.000736,0.340916,0.000736
351,0.000736,0.341652,0.000736
352,0.000736,0.342387,0.000736
353,0.000736,0.343123,0.000736
354,0.000736,0.343858,0.000736
355,0.000736,0.344594,0.000736
356,0.000736,0.345329,0.000736
357,0.000736,0.346065,0.000736
358,0.000736,0.346801,0.000736
359,0.000736,0.347536,0.000736
360,0.000736,0.348272,0.000736
361,0.000736,0.349007,0.000736
362,0.000736,0.349743,0.000736
363,0.000736,0.350478,0.000736
364,0.000736,0.351214,0.000736
365,0.000736,0.351949,0.000736
366,0.000736,0.352685,0.000736
367,0.000736,0.353420,0.000736
368,0.000736,0.354156,0.000736
369,0.000736,0.354891,0.000736
370,0.000736,0.355627,0.000736
371,0.000736,0.356363,0.000736
372,0.000736,0.357098,0.000736
373,0.000736,0.357834,0.000736
374,0.000736,0.358569,0.000736
375,0.000736,0.359305,0.000736
376,0.000736,0.360040,0.000736
377,0.000736,0.360776,0.000736
378,0.000736,0.361511,0.000736
379,0.000736,0.362247,0.000736
380,0.000736,0.362982,0.000736
381,0.000736,0.363718,0.000736
382,0.000736,0.364453,0.000736
383,0.000736,0.365189,0.000736
384,0.000736,0.365925,0.000736
385,0.000736,0.366660,0.000736
386,0.000736,0.367396,0.000736
387,0.000736,0.368131,0.000736
388,0.000736,0.368867,0.000736
389,0.000736,0.369602,0.000736
390,0.000736,0.370338,0.000736
391,0.000736,0.371073,0.000736
392,0.000736,0.371809,0.000736
