image_id,exact_match,relation_match,colour_overlap,size_overlap,object_overlap,total_attribute_overlap,gold_parse_ok,pred_parse_ok,semantic_match
4842,0,1,1,1,2,4,1,1,0
5493,0,1,2,0,2,4,1,1,0
3926,0,1,2,1,2,5,1,1,0
1555,0,0,2,2,2,6,1,1,1
4735,0,0,2,1,2,5,1,1,0
5823,0,0,2,1,2,5,1,1,0
8172,0,1,2,1,2,5,1,1,0
1057,0,0,2,2,1,5,1,1,0
9110,0,0,2,0,2,4,1,1,0
3466,0,1,2,1,2,5,1,1,0
8334,0,1,2,1,2,5,1,1,0
564,0,0,2,1,2,5,1,1,0
8048,0,1,2,2,2,6,1,1,1
678,1,1,1,2,2,5,1,1,1
5171,0,1,2,2,2,6,1,1,1
99,0,1,2,1,1,4,1,1,0
9989,0,1,2,2,2,6,1,1,1
7231,0,1,2,1,2,5,1,1,0
1964,0,1,2,1,2,5,1,1,0
4067,0,0,1,2,2,5,1,1,1
8227,0,1,2,1,2,5,1,1,0
320,0,0,2,1,2,5,1,1,0
4450,0,0,2,1,2,5,1,1,0
7486,0,1,2,0,2,4,1,1,0
6126,0,1,2,1,2,5,1,1,0
3157,1,1,2,2,1,5,1,1,1
1612,1,1,2,2,2,6,1,1,1
4197,0,1,2,0,2,4,1,1,0
5949,0,1,1,1,2,4,1,1,0
9657,0,1,2,0,2,4,1,1,0
507,0,0,2,1,2,5,1,1,0
7568,0,0,2,0,2,4,1,1,0
4939,0,1,1,0,2,3,1,1,0
7578,0,0,2,1,2,5,1,1,0
9722,0,1,1,1,2,4,1,1,0
4300,0,1,2,2,2,6,1,1,1
3589,0,0,2,1,2,5,1,1,0
7810,0,0,2,0,2,4,1,1,0
1148,0,0,2,0,2,4,1,1,0
4147,0,0,1,2,2,5,1,1,1
3431,0,1,2,0,2,4,1,1,0
7423,0,0,1,2,2,5,1,1,1
8178,0,0,2,2,2,6,1,1,1
1532,0,0,2,1,2,5,1,1,0
5399,0,0,2,0,1,3,1,1,0
7380,0,0,1,1,1,3,1,1,0
4813,0,1,2,1,2,5,1,1,0
1223,0,0,2,1,2,5,1,1,1
6379,0,0,2,2,2,6,1,1,1
2958,0,0,2,1,2,5,1,1,0
8836,0,1,1,1,2,4,1,1,0
2013,0,0,2,2,2,6,1,1,1
6572,0,0,1,1,2,4,1,1,0
1634,0,0,2,1,2,5,1,1,0
4016,0,1,2,2,2,6,1,1,1
4242,0,1,2,1,2,5,1,1,0
6609,0,1,2,1,2,5,1,1,1
5450,0,0,1,1,2,4,1,0,0
4309,0,0,2,1,2,5,1,1,0
114,1,1,2,2,1,5,1,1,1
9441,0,1,2,0,2,4,1,1,0
2955,0,0,2,2,2,6,1,1,1
9172,0,1,2,0,2,4,1,1,0
8173,0,1,2,2,2,6,1,1,1
7215,0,0,2,1,1,4,1,1,0
4201,0,0,2,1,1,4,1,1,0
6123,0,1,1,0,2,3,1,1,0
7995,0,0,2,1,2,5,1,1,0
7494,0,0,2,2,2,6,1,1,1
2542,0,0,1,0,2,3,1,1,0
7292,0,1,2,0,2,4,1,1,0
1295,0,0,2,1,2,5,1,1,0
9933,0,0,2,2,2,6,1,1,1
9200,0,0,1,1,1,3,1,1,0
3421,0,0,2,1,2,5,1,1,0
8886,0,0,2,1,2,5,1,1,0
7093,0,0,2,2,2,6,1,1,1
7206,1,1,2,2,2,6,1,1,1
4665,0,1,2,1,2,5,1,1,0
4171,0,0,2,1,2,5,1,1,0
2449,0,0,1,0,2,3,1,1,0
5928,0,1,2,1,2,5,1,1,0
2352,0,0,2,1,2,5,1,1,0
6868,0,1,2,2,1,5,1,1,1
652,0,1,2,1,2,5,1,1,0
4940,0,1,2,1,2,5,1,1,0
1006,0,1,2,1,2,5,1,1,0
4635,0,1,2,1,2,5,1,1,0
5568,0,1,2,1,2,5,1,1,0
3300,0,0,2,1,1,4,1,1,0
2920,0,0,1,1,1,3,1,1,0
8198,0,0,2,1,2,5,1,1,0
8662,0,0,2,2,2,6,1,1,1
3879,0,0,2,1,2,5,1,1,0
3983,0,1,2,1,1,4,1,1,1
5273,0,1,2,1,2,5,1,1,0
7979,0,0,1,2,2,5,1,1,1
1552,0,1,2,1,1,4,1,1,0
2220,0,0,2,1,2,5,1,1,0
5532,0,0,2,1,2,5,1,1,0
6326,0,1,2,0,2,4,1,1,0
4669,0,1,2,0,1,3,1,1,0
3043,0,1,2,1,2,5,1,1,0
8479,0,0,2,2,2,6,1,1,0
